"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 15 12:57:35 CEST 2023","Fri Sep 15 12:57:39 CEST 2023","4196","","Swag Labs tests","","","","Login",""
"unknown","Fri Sep 15 13:36:38 CEST 2023","Fri Sep 15 13:36:53 CEST 2023","15329","","Color note test","","","","Add a note and delete it",""
